"","Full_Name","Status","School_Type","Year_Closed","Year","GunRelated_Incidents"
"260","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2014",13
"261","Germantown High School","Closed","High",2013,"2014",10
"262","Anna H Shaw Middle School","Closed","Middle",2014,"2014",12
"263","Alexander Wilson Elementary","Closed","Elementary",2013,"2014",2
"264","University City High School","Closed","High",2013,"2014",2
"265","Harrison Elementary","Closed","Elementary",2012,"2014",10
"266","Charles R. Drew Elementary","Closed","Elementary",2012,"2014",1
"267","William Levering Elementary","Closed","Elementary",2012,"2014",3
"268","Philadelphia High School for Business and Technology","Closed","High",2012,"2014",3
"269","Rhodes High School","Closed","High",2012,"2014",5
"270","Thomas FitzSimons High School","Closed","High",2012,"2014",13
"271","Bok Technical High School","Closed","High",2013,"2015",6
"272","L.P. Hill Elementary","Closed","Elementary",2013,"2015",8
"273","Sheridan West Middle School","Closed","Middle",2014,"2015",28
"274","Charles Carroll High School","Closed","High",2013,"2015",2
"275","John L. Kinsey Elementary","Closed","Elementary",2013,"2015",5
"276","M.H. Stanton Elementary","Closed","Elementary",2013,"2015",31
"277","Communications Technology High School","Closed","High",2014,"2015",1
"278","Joseph Leidy Elementary","Closed","Elementary",2014,"2015",2
"279","Walter Smith Elementary","Closed","Elementary",2013,"2015",16
"280","Stephen A. Douglas High school","Closed","High",2013,"2015",0
"281","Lamberton High School","Closed","High",2013,"2015",5
"282","Fairhill Elementary","Closed","Elementary",2014,"2015",14
"283","George Wharton Pepper Middle School","Closed","Middle",2013,"2015",1
"284","Vaux High School","Closed","High",2013,"2015",9
"285","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2015",8
"286","Anna B Pratt Elementary","Closed","Elementary",2014,"2015",16
"287","George Washington Elementary","Closed","Elementary",2013,"2015",9
"288","Robert Fulton Elementary","Closed","Elementary",2013,"2015",6
"289","General John F. Reynolds Elementary","Closed","Elementary",2013,"2015",17
"290","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2015",14
"291","Germantown High School","Closed","High",2013,"2015",4
"292","Anna H Shaw Middle School","Closed","Middle",2014,"2015",9
"293","Alexander Wilson Elementary","Closed","Elementary",2013,"2015",3
"294","University City High School","Closed","High",2013,"2015",0
"295","Harrison Elementary","Closed","Elementary",2012,"2015",13
"296","Charles R. Drew Elementary","Closed","Elementary",2012,"2015",2
"297","William Levering Elementary","Closed","Elementary",2012,"2015",2
"298","Philadelphia High School for Business and Technology","Closed","High",2012,"2015",5
"299","Rhodes High School","Closed","High",2012,"2015",9
"300","Thomas FitzSimons High School","Closed","High",2012,"2015",11
"301","Bok Technical High School","Closed","High",2013,"2016",3
"302","L.P. Hill Elementary","Closed","Elementary",2013,"2016",6
"303","Sheridan West Middle School","Closed","Middle",2014,"2016",26
"304","Charles Carroll High School","Closed","High",2013,"2016",2
"305","John L. Kinsey Elementary","Closed","Elementary",2013,"2016",8
"306","M.H. Stanton Elementary","Closed","Elementary",2013,"2016",34
"307","Communications Technology High School","Closed","High",2014,"2016",3
"308","Joseph Leidy Elementary","Closed","Elementary",2014,"2016",1
"309","Walter Smith Elementary","Closed","Elementary",2013,"2016",12
"310","Stephen A. Douglas High school","Closed","High",2013,"2016",1
"311","Lamberton High School","Closed","High",2013,"2016",6
"312","Fairhill Elementary","Closed","Elementary",2014,"2016",13
"313","George Wharton Pepper Middle School","Closed","Middle",2013,"2016",0
"314","Vaux High School","Closed","High",2013,"2016",5
"315","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2016",5
"316","Anna B Pratt Elementary","Closed","Elementary",2014,"2016",21
"317","George Washington Elementary","Closed","Elementary",2013,"2016",6
"318","Robert Fulton Elementary","Closed","Elementary",2013,"2016",5
"319","General John F. Reynolds Elementary","Closed","Elementary",2013,"2016",8
"320","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2016",17
"321","Germantown High School","Closed","High",2013,"2016",3
"322","Anna H Shaw Middle School","Closed","Middle",2014,"2016",16
"323","Alexander Wilson Elementary","Closed","Elementary",2013,"2016",5
"324","University City High School","Closed","High",2013,"2016",0
"325","Harrison Elementary","Closed","Elementary",2012,"2016",16
"326","Charles R. Drew Elementary","Closed","Elementary",2012,"2016",1
"327","William Levering Elementary","Closed","Elementary",2012,"2016",4
"328","Philadelphia High School for Business and Technology","Closed","High",2012,"2016",4
"329","Rhodes High School","Closed","High",2012,"2016",7
"330","Thomas FitzSimons High School","Closed","High",2012,"2016",7
"331","Bok Technical High School","Closed","High",2013,"2017",6
"332","L.P. Hill Elementary","Closed","Elementary",2013,"2017",11
"333","Sheridan West Middle School","Closed","Middle",2014,"2017",23
"334","Charles Carroll High School","Closed","High",2013,"2017",3
"335","John L. Kinsey Elementary","Closed","Elementary",2013,"2017",6
"336","M.H. Stanton Elementary","Closed","Elementary",2013,"2017",21
"337","Communications Technology High School","Closed","High",2014,"2017",4
"338","Joseph Leidy Elementary","Closed","Elementary",2014,"2017",3
"339","Walter Smith Elementary","Closed","Elementary",2013,"2017",4
"340","Stephen A. Douglas High school","Closed","High",2013,"2017",2
"341","Lamberton High School","Closed","High",2013,"2017",8
"342","Fairhill Elementary","Closed","Elementary",2014,"2017",11
"343","George Wharton Pepper Middle School","Closed","Middle",2013,"2017",0
"344","Vaux High School","Closed","High",2013,"2017",10
"345","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2017",6
"346","Anna B Pratt Elementary","Closed","Elementary",2014,"2017",13
"347","George Washington Elementary","Closed","Elementary",2013,"2017",2
"348","Robert Fulton Elementary","Closed","Elementary",2013,"2017",11
"349","General John F. Reynolds Elementary","Closed","Elementary",2013,"2017",14
"350","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2017",10
"351","Germantown High School","Closed","High",2013,"2017",4
"352","Anna H Shaw Middle School","Closed","Middle",2014,"2017",10
"353","Alexander Wilson Elementary","Closed","Elementary",2013,"2017",4
"354","University City High School","Closed","High",2013,"2017",3
"355","Harrison Elementary","Closed","Elementary",2012,"2017",10
"356","Charles R. Drew Elementary","Closed","Elementary",2012,"2017",0
"357","William Levering Elementary","Closed","Elementary",2012,"2017",2
"358","Philadelphia High School for Business and Technology","Closed","High",2012,"2017",6
"359","Rhodes High School","Closed","High",2012,"2017",8
"360","Thomas FitzSimons High School","Closed","High",2012,"2017",13
"361","Bok Technical High School","Closed","High",2013,"2018",10
"362","L.P. Hill Elementary","Closed","Elementary",2013,"2018",15
"363","Sheridan West Middle School","Closed","Middle",2014,"2018",22
"364","Charles Carroll High School","Closed","High",2013,"2018",0
"365","John L. Kinsey Elementary","Closed","Elementary",2013,"2018",7
"366","M.H. Stanton Elementary","Closed","Elementary",2013,"2018",22
"367","Communications Technology High School","Closed","High",2014,"2018",1
"368","Joseph Leidy Elementary","Closed","Elementary",2014,"2018",2
"369","Walter Smith Elementary","Closed","Elementary",2013,"2018",3
"370","Stephen A. Douglas High school","Closed","High",2013,"2018",0
"371","Lamberton High School","Closed","High",2013,"2018",7
"372","Fairhill Elementary","Closed","Elementary",2014,"2018",17
"373","George Wharton Pepper Middle School","Closed","Middle",2013,"2018",1
"374","Vaux High School","Closed","High",2013,"2018",7
"375","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2018",10
"376","Anna B Pratt Elementary","Closed","Elementary",2014,"2018",15
"377","George Washington Elementary","Closed","Elementary",2013,"2018",2
"378","Robert Fulton Elementary","Closed","Elementary",2013,"2018",8
"379","General John F. Reynolds Elementary","Closed","Elementary",2013,"2018",9
"380","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2018",10
"381","Germantown High School","Closed","High",2013,"2018",7
"382","Anna H Shaw Middle School","Closed","Middle",2014,"2018",7
"383","Alexander Wilson Elementary","Closed","Elementary",2013,"2018",3
"384","University City High School","Closed","High",2013,"2018",0
"385","Harrison Elementary","Closed","Elementary",2012,"2018",9
"386","Charles R. Drew Elementary","Closed","Elementary",2012,"2018",1
"387","William Levering Elementary","Closed","Elementary",2012,"2018",1
"388","Philadelphia High School for Business and Technology","Closed","High",2012,"2018",2
"389","Rhodes High School","Closed","High",2012,"2018",8
"390","Thomas FitzSimons High School","Closed","High",2012,"2018",12
"391","Bok Technical High School","Closed","High",2013,"2019",7
"392","L.P. Hill Elementary","Closed","Elementary",2013,"2019",12
"393","Sheridan West Middle School","Closed","Middle",2014,"2019",25
"394","Charles Carroll High School","Closed","High",2013,"2019",1
"395","John L. Kinsey Elementary","Closed","Elementary",2013,"2019",10
"396","M.H. Stanton Elementary","Closed","Elementary",2013,"2019",18
"397","Communications Technology High School","Closed","High",2014,"2019",1
"398","Joseph Leidy Elementary","Closed","Elementary",2014,"2019",1
"399","Walter Smith Elementary","Closed","Elementary",2013,"2019",1
"400","Stephen A. Douglas High school","Closed","High",2013,"2019",3
"401","Lamberton High School","Closed","High",2013,"2019",2
"402","Fairhill Elementary","Closed","Elementary",2014,"2019",15
"403","George Wharton Pepper Middle School","Closed","Middle",2013,"2019",0
"404","Vaux High School","Closed","High",2013,"2019",11
"405","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2019",5
"406","Anna B Pratt Elementary","Closed","Elementary",2014,"2019",12
"407","George Washington Elementary","Closed","Elementary",2013,"2019",7
"408","Robert Fulton Elementary","Closed","Elementary",2013,"2019",10
"409","General John F. Reynolds Elementary","Closed","Elementary",2013,"2019",11
"410","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2019",7
"411","Germantown High School","Closed","High",2013,"2019",5
"412","Anna H Shaw Middle School","Closed","Middle",2014,"2019",11
"413","Alexander Wilson Elementary","Closed","Elementary",2013,"2019",3
"414","University City High School","Closed","High",2013,"2019",2
"415","Harrison Elementary","Closed","Elementary",2012,"2019",12
"416","Charles R. Drew Elementary","Closed","Elementary",2012,"2019",3
"417","William Levering Elementary","Closed","Elementary",2012,"2019",2
"418","Philadelphia High School for Business and Technology","Closed","High",2012,"2019",6
"419","Rhodes High School","Closed","High",2012,"2019",10
"420","Thomas FitzSimons High School","Closed","High",2012,"2019",15
"421","Bok Technical High School","Closed","High",2013,"2020",5
"422","L.P. Hill Elementary","Closed","Elementary",2013,"2020",19
"423","Sheridan West Middle School","Closed","Middle",2014,"2020",22
"424","Charles Carroll High School","Closed","High",2013,"2020",3
"425","John L. Kinsey Elementary","Closed","Elementary",2013,"2020",13
"426","M.H. Stanton Elementary","Closed","Elementary",2013,"2020",29
"427","Communications Technology High School","Closed","High",2014,"2020",2
"428","Joseph Leidy Elementary","Closed","Elementary",2014,"2020",4
"429","Walter Smith Elementary","Closed","Elementary",2013,"2020",2
"430","Stephen A. Douglas High school","Closed","High",2013,"2020",2
"431","Lamberton High School","Closed","High",2013,"2020",1
"432","Fairhill Elementary","Closed","Elementary",2014,"2020",23
"433","George Wharton Pepper Middle School","Closed","Middle",2013,"2020",3
"434","Vaux High School","Closed","High",2013,"2020",10
"435","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2020",11
"436","Anna B Pratt Elementary","Closed","Elementary",2014,"2020",22
"437","George Washington Elementary","Closed","Elementary",2013,"2020",1
"438","Robert Fulton Elementary","Closed","Elementary",2013,"2020",8
"439","General John F. Reynolds Elementary","Closed","Elementary",2013,"2020",6
"440","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2020",13
"441","Germantown High School","Closed","High",2013,"2020",4
"442","Anna H Shaw Middle School","Closed","Middle",2014,"2020",22
"443","Alexander Wilson Elementary","Closed","Elementary",2013,"2020",3
"444","University City High School","Closed","High",2013,"2020",1
